EN,NT,Sem. Cat.,Sub Sem. Cat.,Speaker 1,Speaker 2,Source,,,,,,,,,,,,,
jackfish,táłi,fish,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pike,téłi,fish,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pike,táłi,fish,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
king salmon,gyo,fish,salmon,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
male king salmon,khak,fish,salmon,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ling cod,telyók,fish,cod,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ling cod,hutsum,fish,cod,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ling cod,hudlro,fish,cod,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ling cod,łyok chí ndo,fish,cod,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ling cod,uchíʼ mbra thóʼ,fish,cod,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sucker,tatsʼaat,fish,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
trout,mbyaat,fish,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
whitefish,łyok degay,fish,whitefish,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sharp-nosed whitefish,sakay,fish,whitefish,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sharp-nosed whitefish,shaankay,fish,whitefish,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
whitefish (spawned?) ,legha,fish,whitefish,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
whitefish,tezráʼ,fish,whitefish,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
whitefish,tizráʼ,fish,whitefish,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fish hook,tʼráánʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fish net ,temyánʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
floaters,téłrúnʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
floaters,téłrúnʼ dáláwʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sinkers,tetthíʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fish spear,łyok détthʼánʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fish trap,sháʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fish trap (sack-like),óʼ,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gaff hook,kʼekʼák,"fishing, hunting and trapping",fishing,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
arrow,tráʼ,"fishing, hunting and trapping",bow and arrow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
arrow bag,trá adhóʼ,"fishing, hunting and trapping",bow and arrow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
arrowhead,trá tthíʼ,"fishing, hunting and trapping",bow and arrow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
arrow feather,kʼádetʼe,"fishing, hunting and trapping",bow and arrow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bow,intínʼ,"fishing, hunting and trapping",bow and arrow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bowstring,intínʼ tlʼyáwʼ,"fishing, hunting and trapping",bow and arrow,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
caribou fence,tthyaw,"fishing, hunting and trapping",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
club,kháʼ,"fishing, hunting and trapping",club,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
horn club ,edíʼ kháʼ,"fishing, hunting and trapping",club,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gun,kʼonkʼéʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gun,kwʼankʼéʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rifle,kʼonkʼéʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rifle,kwʼankʼéʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
barrel,kʼonkʼéʼ dhyáwnʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
barrel,kʼonkʼéʼ dhyan,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
double-barrel,kʼonkʼéʼ łegéʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
double-barrel,inʼéʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
double-barrel,shágáánʼ dégro,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
single-barrel,kʼonkʼéʼ udhyáwn,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
single-barrel,łak echʼi,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bullets,kʼonkʼéʼ tthíʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gunpowder,kʼonkʼéʼ kwánʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gun sight,kʼonkʼéʼ túkíʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gun stock, kʼonkʼéʼ tínʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
hammer,kʼonkʼéʼ dzák,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pistol,kʼonkʼéʼ zra,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
shotgun,shágáánʼ,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
trigger,kʼonkʼéʼ tʼetsʼadandi,"fishing, hunting and trapping",gun,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pack (sack) ,khya,"fishing, hunting and trapping",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
skin stretcher,eka,"fishing, hunting and trapping",tanning,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
game look-out,nákʼyáʼ,"fishing, hunting and trapping",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
trapline,khyá tan,"fishing, hunting and trapping",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
apples (dried),tso dzák,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
back grease,echekʼeyíʼ,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
baking powder,mekedro,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
beer,sra,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bread,łyóʼ tʼyóʼ,"foods, beverages, tobacco, medicine",bread,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bread,łétʼyóʼ,"foods, beverages, tobacco, medicine",bread,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bread in loaf,łétʼyóʼ dan,"foods, beverages, tobacco, medicine",bread,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
butter,khi dettho,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
chew made from fungus ashes,métlʼáát,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
chewing gum,dzíʼ tsʼaʼáʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
chewing gum,kʼotʼyan dzíʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
chewing tobacco,łat,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
cigarette,łat tsʼedétthʼúnʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
cookies,łyóʼ gan zra,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
cow milk,tʼók,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
cow milk,máʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
crackers,łyóʼ gan,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fat for tallow,ekʼe,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fish,łyok,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
boiled fish,łyok hecháʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
dry fish,łyok gan,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fish strips,łyok nenetthák,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
flour,łyóʼ ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
food (any) ,mbat,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gravy (flour),łyóʼ tlro,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gravy (meat),etthán túʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
grease,khi,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bone grease,tthʼan yíʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
honey,dedzyan tsáánʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
honey,dedzyan tsénʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Indian 'carrot',ttha,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
kidney fat,etʼró kʼeyíʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
marrow,ezhak,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
marrow fat,ezhak yíʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
meat,etthánʼ,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
dry meat,etthánʼ gan,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pounded meat,etsúnʼ,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fried meat,etthánʼ intʼyóʼ,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
boiled meat,etthánʼ intro,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
smoked meat,łetsʼíʼ yétthánʼ,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
raw meat,etthánʼ łatʼaw,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
half-raw meat,etthánʼ dedlat,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
brisket meat,eyuntthánʼ,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
shoulder meat,ekʼadatat,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rib meat,echáán tthánʼ,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
medicine,tsʼúndíʼ,"foods, beverages, tobacco, medicine",medicine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
aspirin,dan tthíʼ tsʼúndíʼ,"foods, beverages, tobacco, medicine",medicine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
cough medicine,deko tsʼúndíʼ,"foods, beverages, tobacco, medicine",medicine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
linament,tsʼúndíʼ dan ka,"foods, beverages, tobacco, medicine",medicine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
linament,hetsʼedi denintlʼrun,"foods, beverages, tobacco, medicine",medicine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
stomach medicine,dan mbát tʼáʼ tsʼúndí,"foods, beverages, tobacco, medicine",medicine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Vicks,dan dzechín tsʼúndíʼ,"foods, beverages, tobacco, medicine",medicine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
molasses,kʼánʼ túʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
moose rib meat (dry),echáándhák,"foods, beverages, tobacco, medicine",meat,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
potatoes,pédo,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
potatoes,pándo,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
prunes,jak cho gan,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
raisins,jak gan zra,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rice,ráyʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rice,tlʼóléʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
salt,lesyáʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
snuff,tsʼetsan,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
soup,tadhaw,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bone soup,tthʼan tadhaw,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sugar,sáwga,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sugar,syáwa,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sweets,łekan tsʼaʼaʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
syrup,kʼi túʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
tea,ledyát,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
whiskey,kwánʼ túʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
whiskey,nóʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
wine,ják túʼ,"foods, beverages, tobacco, medicine",,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
babiche (large),kenłan,household furnishings and personal belongings,babiche,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
babiche (small),kentlʼyaw,household furnishings and personal belongings,babiche,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
baby crib,bébi byáát,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
baby swing,bébi démyánʼ,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bag,kéndróʼ,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sack,kéndróʼ,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ball,dakák,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bed,byáát,household furnishings and personal belongings,bed,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bed,byááda,household furnishings and personal belongings,bed,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bed,deti kʼyáʼ,household furnishings and personal belongings,bed,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bedsheets,tyáʼ ka hambáʼ,household furnishings and personal belongings,bed,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bedsprings,mezan tlʼyaw nédo nedenechʼúʼ,household furnishings and personal belongings,bed,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bell,déláyʼ,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
belongings,nde,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Bible,etʼódintʼi kʼók,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
blanket,tsʼat,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
HBC blanket,tsʼat degay nedenetsʼát,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
book,kʼok,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
paper,kʼok,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
box (wooden),dechan tyan,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
broom,tlʼó dhát,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
calendar,uka to tsʼedatyan,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
camera,uzhí picture tsʼehutsi,household furnishings and personal belongings,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
